Original_URL,Company,Overall_rating,Review_count,Overall_evaluation,Verify_status,Website,Current_page,Reviewer,User_review_count,Country,Rating,Review_title,Review_time,Review_body,Date_of_experience,Business_reply,Business_reply_time
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Tony,3,IE,1 out of 5 stars,This service is a joke,"Thursday 21 December 2023, 19:54:10",This service is a joke. Please do not rely on anything they publish. Also the station announcements are ridiculous. I genuinely think the announcers are trying to annoy people. Impossible to understand what they are saying and deliberately made when noisy trains are moved no through the station making it impossible to hear.,21 December 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,PB,1,IE,1 out of 5 stars,Only giving one star because there’s no…,"Tuesday 12 December 2023, 18:49:53","Only giving one star because there’s no option to give zero. Have used trains extensively in many countries and the Irish ones are easily the worst I’ve experienced in a ‘1st world’ country. Consistently delayed, cancelled, staff who know very little about the services being provided and the signage is awful. A lot of violence at Dublin stations also. AVOID if you can.",12 December 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Fanore Sun,4,GB,1 out of 5 stars,This service is a shambles and a…,"Thursday 14 December 2023, 22:47:21","This service is a shambles and a disgrace.

Third time out of four train trips from Carlow to Dublin where the seat booking information wasn’t displayed.

This has lead to racist abuse to my partner from the people who had taken the seats and were not reasonable nor accommodating people, they were aggressive people.

Their reasoning if you could call it that was the seat bookings weren’t displayed. This was no fault of ours, we booked our tickets well in advance, had our tickets as proof, this sham is the responsibility of Irish Rail. And to top it off, the Irish Rail ticket person on the train would do nothing about it, was he racist too or just didn’t care?

This is a shocking service that needs rapid over hauling in order to protect the passengers on the trains and keep them safe.

We will have to start using buses now, at least they are safer and have a driver who takes responsibility for his passengers.",17 November 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Colin Mc Hugo,1,IE,1 out of 5 stars,Terrible coffee,"Thursday 14 December 2023, 08:17:58","Terrible coffee, nice staff but coffee is muck…I’ve tried a dozen times, Java Republic is terrible ..change your coffee please and fresh fruit or healthy snacks would be nice too thanks",14 December 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,noel o connor,5,IE,1 out of 5 stars,Awful Helpdesk experience,"Thursday 7 December 2023, 15:22:46","Had a issue with my ticket, contact 2 phone help lines and 1 email help desk and got no help.

In fact an email come back 6 days after I need help and a generic response. Would have been better if they didnt have a help desk, less money wasted on their side and less expectation of help on the customers side.

Every interaction I've had with Irish Rail has been negative. From the overcrowding of trains, seat reservation system never working and not the their so called help desks.

Unfortunately there is no alternative at the moment.",30 November 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Peter Kelleher,1,IE,1 out of 5 stars,I had to endure sitting next to a woman…,"Saturday 9 December 2023, 22:16:14","I had to endure sitting next to a woman snorting heroin in front of me on the way to limerick from cork, no one batted an eyelid, on the return journey I had 2 cans of beer confiscated from me. Some show of a business",09 December 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,MARY CARROLL,3,IE,5 out of 5 stars,A random act of kindness,"Wednesday 22 November 2023, 08:38:33","I travelled on the 15.35 train from Heuston Station to Athenry yesterday (20th November). It was a pretty uneventful trip on a miserable November evening until I got a tap on my shoulder asking me if I would like a sweet from a big box of Cadbury's Heros. A very nice man was going the length of the train, carriage by carriage, offering a piece of candy to hard pressed commuters on a monday commuter train. No agenda, no tricks....just a random act of kindness that lifted the spirits of so many. Truly the little things matter. Thank you, Mr Anonymous.  Your gesture made a difference.....",20 November 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Daniel ,10,IE,1 out of 5 stars,Booked my seats from tralee to Dublin…,"Tuesday 12 December 2023, 19:13:14","Booked my seats from tralee to Dublin onky to have someone in my seat with the same seat allocation??
I was meant to work from the train and couldnt find a place to work from after that. Kept getting moved. Thanks alot",12 December 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Emma durkan,1,IE,1 out of 5 stars,Toilet and train experience,"Sunday 3 December 2023, 16:46:06",The train was over packed with people and people standing the whole journey from ballina to Dublin. Toilets were absolutely filthy and the smell of urine was disgusting. 9,03 December 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,ann cefai,3,IE,5 out of 5 stars,5 star experience on Irish rail.,"Wednesday 8 November 2023, 16:31:51","On a recent trip to Dublin from Waterford I spilt a cup of coffee.  I was embarrassed and upset with myself, but the rail Stewart in Waterford was so sympathetic and cleaned up the coffee without any fuss so I just want to say thank you. All my experience s on Irish rail have been good. From booking to the information on board.",08 November 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Davide,24,IE,1 out of 5 stars,Bad service and inefficiency,"Sunday 29 October 2023, 10:20:04","Leaving aside the terrible service provided, the management of Irish Rail is made up by a bunch of incompetent people.
They have decided to close the whole North segment of darts and commuters on the day the Dublin marathon is on.
This is something that only somebody whom don't have a clue of what they are doing can plan.
I am sure that they have been communicated the date of this event well in advance.
With a number of traffic diversions in place for the marathon people would rely on public transport to get into Dublin City centre.
The public transport service is already poor to say the least, no need to complicate matters by making such poor choices.",29 October 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Anne H,2,SG,2 out of 5 stars,Outdated system!,"Monday 25 September 2023, 19:31:01","So if you bought a return ticket and you misplaced the ticket for the return trip, you would have to buy a brand new one! They couldn’t be reprinted! A staff at ticketing office told me so! It’s unreal. Until today, you still can’t use paperless/electronic to tickets for trains in Ireland, they let you book online but then before traveling you need to print it out from ticketing machine at stations! It’s 1998 systems people!",25 September 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Guest,3,GB,1 out of 5 stars,Quiet carriage a joke,"Wednesday 20 September 2023, 22:46:27","Once again sitting in the quiet carriage that should be called the noisy zone. It has been taken over by a group of teenagers coming from the ploughing championships that are shouting, playing loud music, drinking & not at all respectful. No staff members or security to control the situation. Not a very safe environment.",20 September 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,nora o Donnell,3,IE,2 out of 5 stars,free travel pass…,"Tuesday 14 November 2023, 09:30:02","Impossible to book a seat with a free travel pass. Can't book online as they are looking for a fee, taught it was a free travel pass. Can't book at the station as they don't deal with tickets for the last two years (is. Counter station) . Cant get a ticket on a machine as it doesn't allow tickets with free travel pass. How are the older people expected to go on trains.There is a number one can ring 7 am to 7pm,but I rang 6.55pm and nory. Very unfair.",14 November 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Stephanie Tee,1,GB,5 out of 5 stars,The conductor on the last train from…,"Thursday 15 June 2023, 09:44:01","The conductor on the last train from Dublin to Belfast tonight 14/06/24 was so helpfull and kind
He went out of his way to direct us
Infact the whole of our journey on the Irish trains (from Rosslaire to Belfast) was a very pleasurable esperance everyone was so helpful
Great people the Irish a
credit to the country",14 June 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,RoCo,3,IE,1 out of 5 stars,No attempt to control people playing…,"Thursday 6 April 2023, 14:24:01",No attempt to control people playing their music or videos on full blast. Freezing cold carriages. One trip to Wexford from Dublin mid winter I actually asked the conductor to have the heating put on as it was Baltic in the carriages (I believe the air con was actually blowing out cold air) and he flippantly informed me the heating was controlled from Pearse St. Station. Such arrogance and definitely not true. Why not heat the carriages in winter? There are elderly and children aboard. They're charging enough for the tickets!,06 April 2022,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Janice,11,ES,5 out of 5 stars,Super Service.…,"Thursday 10 August 2023, 16:09:25","We went from Waterford to Athlone with 2 bikes which was a first travelling this way with 2 wheels.. We had 2 changeovers en route before we arrived in Athlone.
On return we went from Athlone to Dublin to change over for Waterford. The trains were clean comfortable & modern.
The staff were exceptional but unfortunately I can'tà name all. The guy in Athlone, longish hair & bracelets was amazing. He even stored our bikes while we went for a stroll. Commendable! Million thanks!!😁
Got one name.. Aidan ..
He took us to the bike storage,helped with the bikes & then guided us to Coach C. How's that for service with a smile?🤗every happy commuters@@
Irish Rail you would rival any train company in Europe. Well done!!! 👏",10 August 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,brendan keane,7,IE,1 out of 5 stars,the first issue i had was that ticket…,"Tuesday 4 July 2023, 11:36:01",the first issue i had was that ticket machine would not take my cash ejected 4 different notes had to use my wifes card. then i went into ballinasloe train station only to find that access to toilet facility was locked up closed!!!! not good when you have prostrate problems. the after buying my ticket i had to stand up for full trip to galway!!!! as i am only recently out of hospital this was not a good start to my day.,01 July 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Capt. Brian Gilligan,17,IE,1 out of 5 stars,an anti bicycle company of the highest level,"Thursday 11 May 2023, 14:12:27","absolutely atrocious company for cyclists . imagine a train that can carry only 2 bicycles , which need to be booked waaaaay in advance. absolutely pathetic , a company supposedly trying to encourage greener environment yet they do their best to prevent the greenest mode of transport of all being used , a bicycle . and the in addition , it's an absolute nightmare gettn a bike into a bike space because the carriage doors are barely wide enough for a person to walk through , and on top of that , the staff on the train literally stand their watching a cyclist struggle . Beyond a joke. surely to god if a bus can carry 5 or 6 bikes , how is it that a  5 carriage train can't handle more than 2. plenty of empty space in the restaurant cars and yet they're left sitting idle .",01 May 2023,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,1,Patricia O'Brien,19,IE,5 out of 5 stars,Excellent  customer service,"Wednesday 23 November 2022, 20:24:02","Last sunday. 20th of November I travelled from Belfast to Drogheda where I was taking a train to Skerries.A staff member who was exiting the Belfast train offered to take my case for me ,another staff member was most helpful in directing me to the platform I needed and to the lift .I really appreciated their cheerful voluntary kindness well done
Regards
Patricia O'Brien",20 November 2022,,
https://ie.trustpilot.com/review/irishrail.ie,Iarnród Éireann Irish Rail ,2.1,123,Poor,,irishrail.ie,2,Cian Dolan,1,IE,1 out of 5 stars,Farcical Seat Bookings,"Sunday 13 August 2023, 20:40:06","Booked 4 return tickets from Roscommon to Dublin, I may as well have walked. How is it legal to sell nearly twice as many tickets as there are seats on the train? Half of us were crammed into the small spaces between carriages. And then on the way back, we got to our booked seats no bother, but another woman came to us saying she'd booked the seat I was on. Selling the same seat twice on the same journey is shameful.",13 August 2023,,
